day,price,competitor
20/12/2019,123.5,1001pneus.fr
20/12/2019,127.98,auto.leclerc
20/12/2019,129.6,avatacar.com
20/12/2019,141.9,bonspneus.fr
20/12/2019,128.2,centralepneus.fr
20/12/2019,145.99,coteroute.fr
20/12/2019,141,discount-pneus.com
20/12/2019,131.8,euromaster.fr
20/12/2019,125.5,feuvert.fr
20/12/2019,138.99,firststop.fr
20/12/2019,138.9,mister-auto.com
20/12/2019,129.6,monauto.carrefour.fr
20/12/2019,125.5,norauto.fr
20/12/2019,135.89,pneus-online.fr
20/12/2019,144.9,profilplus.fr
20/12/2019,142.4,tirendo.fr
20/12/2019,124.9,toopneus.com
20/12/2019,144.9,vulco.com
21/12/2019,131.5,1001pneus.fr
21/12/2019,162.8,123pneus.fr
21/12/2019,127.98,auto.leclerc
21/12/2019,129.6,avatacar.com
21/12/2019,141.9,bonspneus.fr
21/12/2019,128.2,centralepneus.fr
21/12/2019,145.99,coteroute.fr
21/12/2019,141,discount-pneus.com
21/12/2019,131.8,euromaster.fr
21/12/2019,125.5,feuvert.fr
21/12/2019,138.99,firststop.fr
21/12/2019,138.9,mister-auto.com
21/12/2019,125.5,norauto.fr
21/12/2019,135.89,pneus-online.fr
21/12/2019,144.9,profilplus.fr
21/12/2019,140.9,tirendo.fr
21/12/2019,126.4,toopneus.com
21/12/2019,144.9,vulco.com
22/12/2019,131.5,1001pneus.fr
22/12/2019,127.98,auto.leclerc
22/12/2019,129.6,avatacar.com
22/12/2019,141.9,bonspneus.fr
22/12/2019,126.5,cdiscount.com
22/12/2019,128.2,centralepneus.fr
22/12/2019,145.99,coteroute.fr
22/12/2019,142.6,discount-pneus.com
22/12/2019,131.8,euromaster.fr
22/12/2019,125.5,feuvert.fr
22/12/2019,138.99,firststop.fr
22/12/2019,138.9,mister-auto.com
22/12/2019,125.5,norauto.fr
22/12/2019,137.05,pneus-online.fr
22/12/2019,144.9,profilplus.fr
22/12/2019,140.9,tirendo.fr
22/12/2019,125.2,toopneus.com
22/12/2019,144.9,vulco.com
23/12/2019,137.5,1001neumaticos.es
23/12/2019,131.5,1001pneus.fr
23/12/2019,127.98,auto.leclerc
23/12/2019,129.6,avatacar.com
23/12/2019,132.59,bandenleader.nl
23/12/2019,141.9,bonspneus.fr
23/12/2019,126.5,cdiscount.com
23/12/2019,136.29,centralepneus.be
23/12/2019,128.2,centralepneus.fr
23/12/2019,145.99,coteroute.fr
23/12/2019,131.8,euromaster.fr
23/12/2019,125.5,feuvert.fr
23/12/2019,139.9,mister-auto.com
23/12/2019,139.09,neumaticoslider.es
23/12/2019,125.5,norauto.fr
23/12/2019,135,oponeo.nl
23/12/2019,135.8,pneus-online.fr
23/12/2019,144.9,profilplus.fr
23/12/2019,140.9,tirendo.fr
23/12/2019,125.2,toopneus.com
23/12/2019,144.9,vulco.com
24/12/2019,126.6,1001pneus.fr
24/12/2019,162.8,123pneus.fr
24/12/2019,127.98,auto.leclerc
24/12/2019,129.6,avatacar.com
24/12/2019,141.9,bonspneus.fr
24/12/2019,128.2,centralepneus.fr
24/12/2019,145.99,coteroute.fr
24/12/2019,137.8,discount-pneus.com
24/12/2019,131.8,euromaster.fr
24/12/2019,125.5,feuvert.fr
24/12/2019,138.99,firststop.fr
24/12/2019,139.9,mister-auto.com
24/12/2019,125.5,norauto.fr
24/12/2019,135.76,pneus-online.fr
24/12/2019,144.9,profilplus.fr
24/12/2019,140.9,tirendo.fr
24/12/2019,125.1,toopneus.com
24/12/2019,144.9,vulco.com
25/12/2019,126.6,1001pneus.fr
25/12/2019,127.98,auto.leclerc
25/12/2019,129.6,avatacar.com
25/12/2019,141.9,bonspneus.fr
